"","site","site_code","date","sampling_cluster","sampling_cluster_median_date","sampling_group_month","sampling_group_year","accession_update","sample_id","ct_hev","Nml_hev","preservative","bff_present_update","nbff_over_sheet","nnonbff_over_sheet"
"126","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","56",0,NA,"VTM","bff_present",2,0
"127","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","1",0,NA,"VTM","bff_present",2,0
"128","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","11",0,NA,"VTM","bff_present",1,0
"129","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","15",0,NA,"VTM","bff_present",1,0
"130","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","16",0,NA,"VTM","bff_present",1,0
"131","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","17",0,NA,"VTM","bff_present",2,0
"132","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","19",0,NA,"VTM","bff_present",1,0
"133","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","20",0,NA,"VTM","bff_present",1,0
"134","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","25",0,NA,"VTM","bff_present",1,0
"135","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","26",0,NA,"VTM","bff_present",1,0
"136","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","29",0,NA,"VTM","bff_present",1,0
"137","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","30",0,NA,"VTM","bff_present",1,0
"138","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","31",0,NA,"VTM","bff_present",1,0
"139","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","32",0,NA,"VTM","bff_present",1,0
"140","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","33",0,NA,"VTM","bff_present",1,0
"141","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","34",0,NA,"VTM","bff_present",1,0
"142","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","35",38,203.3243866,"VTM","bff_present",1,0
"143","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","39",0,NA,"VTM","bff_present",2,0
"144","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","41",0,NA,"VTM","bff_present",3,2
